HEAD;Marca;Proveedor (Proveedor del Producto);Número de Documento;Empresa Matriz;NIT / CC
427;Tia Rosa;*;*;Bimbo de Colombia S.A.;860.038.872-2
428;Freskaleche;*;*;Lácteos Freskaleche S.A.;N/D
429;Diana;*;*;Alimentos Diana S.A. (Grupo Nutresa);890.100.164-2
430;Diana;*;*;Alimentos Diana S.A. (Grupo Nutresa);890.100.164-2
431;Sabrina;*;*;Sabrina S.A.;N/D
432;Rama;*;*;Unilever Andina S.A.;830.025.800-1
433;Campi;*;*;Campi S.A.;N/D
434;Claro;*;*;Claro S.A.;N/D
435;Gustosita;*;*;Gustosita S.A.;N/D
436;Rama;*;*;Unilever Andina S.A.;830.025.800-1
437;Origami;*;*;Origami S.A.S.;N/D
438;Origami;*;*;Origami S.A.S.;N/D
439;Alpina;*;*;Alpina Productos Naturales S.A.;890.000.121-6
440;Refisal;*;*;Refisal S.A. (Grupo Nutresa);890.100.102-2
441;Maggi;*;*;Nestlé de Colombia S.A.;860.002.727-2
442;Colanta;*;*;Cooperativa Lechera Colanta Ltda.;890.102.042-8
443;Guadalupe;*;*;Lácteos Guadalupe S.A.;N/D
444;Soberana;*;*;Grasco S.A.;890.900.149-0
445;Soberana;*;*;Grasco S.A.;890.900.149-0
446;Gillette;*;*;Procter & Gamble Colombia S.A.;830.002.678-9
447;Gillette;*;*;Procter & Gamble Colombia S.A.;830.002.678-9
448;Gavassa;*;*;Gavassa S.A.;890.100.096-4
449;Gavassa;*;*;Gavassa S.A.;890.100.096-4
450;Gavassa;*;*;Gavassa S.A.;890.100.096-4
451;Gavassa;*;*;Gavassa S.A.;890.100.096-4
452;Gavassa;*;*;Gavassa S.A.;890.100.096-4
453;Doria;*;*;Pastas Doria S.A. (Grupo Nutresa);890.100.142-1
454;Corona;*;*;Alimentos Diana S.A. (Grupo Nutresa);890.100.164-2
455;Doria;*;*;Pastas Doria S.A. (Grupo Nutresa);890.100.142-1
456;Doria;*;*;Pastas Doria S.A. (Grupo Nutresa);890.100.142-1
457;Zenú;*;*;Alimentos Cárnicos S.A. (Grupo Nutresa);890.930.039-3
458;Vikingos;*;*;Vikingos S.A.;N/D
459;Ocareña;*;*;Ocareña S.A.;N/D
460;Ariel;*;*;Procter & Gamble Colombia S.A.;830.002.678-9
461;Ariel;*;*;Procter & Gamble Colombia S.A.;830.002.678-9
462;Ariel;*;*;Procter & Gamble Colombia S.A.;830.002.678-9
463;Zenú;*;*;Alimentos Cárnicos S.A. (Grupo Nutresa);890.930.039-3
464;Zafran;*;*;Alimentos Zafran S.A.;N/D
465;Sello Rojo;*;*;Sello Rojo S.A. (Grupo Nutresa);890.900.063-1
466;Tostao;*;*;Tostao S.A.S.;N/D
467;La Buena;*;*;La Buena S.A.;N/D
468;Colanta;*;*;Cooperativa Lechera Colanta Ltda.;890.102.042-8
469;Susanita;*;*;Susanita S.A.S.;N/D
470;Nescafe;*;*;Nestlé de Colombia S.A.;860.002.727-2
471;Girones;*;*;Lácteos Girones S.A.;N/D
472;Diana;*;*;Alimentos Diana S.A. (Grupo Nutresa);890.100.164-2
473;Galilea;*;*;Quesos Galilea S.A.S.;N/D
474;Zenú;*;*;Alimentos Cárnicos S.A. (Grupo Nutresa);890.930.039-3
475;Ariel;*;*;Procter & Gamble Colombia S.A.;830.002.678-9
476;Ariel;*;*;Procter & Gamble Colombia S.A.;830.002.678-9
477;Maggi;*;*;Nestlé de Colombia S.A.;860.002.727-2
478;Refisal;*;*;Refisal S.A. (Grupo Nutresa);890.100.102-2
479;La Abuela;*;*;La Abuela S.A.;N/D
480;Ramo;*;*;Bimbo de Colombia S.A.;860.038.872-2
481;Ramo;*;*;Bimbo de Colombia S.A.;860.038.872-2
482;Comapan;*;*;Comapan S.A.;890.100.150-2
483;La Fina;*;*;La Fina S.A.;N/D
484;Harina Pan;*;*;Alimentos Polar S.A.;890.100.052-9
485;Supremo;*;*;Supremo S.A.;N/D
486;Ariel;*;*;Procter & Gamble Colombia S.A.;830.002.678-9
487;Supremo;*;*;Supremo S.A.;N/D
488;Supremo;*;*;Supremo S.A.;N/D
489;Darnel;*;*;Darnel S.A.;800.135.932-9
490;Blancox;*;*;Blancox S.A.;N/D
491;Blancox;*;*;Blancox S.A.;N/D
492;Refisal;*;*;Refisal S.A. (Grupo Nutresa);890.100.102-2
493;Tostao;*;*;Tostao S.A.S.;N/D
494;Noel;*;*;Compañía Nacional de Galletas Noel S.A. (Grupo Nutresa);890.900.036-0
495;Bary;*;*;Bary S.A.;890.102.039-8
496;Manjares;*;*;Manjares S.A.;N/D
497;Manjares;*;*;Manjares S.A.;N/D
498;Ocañera;*;*;Ocañera S.A.;N/D
499;Heinz;*;*;Kraft Heinz Colombia S.A.S.;830.002.991-5
500;Cocosette;*;*;Cocosette S.A.;N/D
501;Zenú;*;*;Alimentos Cárnicos S.A. (Grupo Nutresa);890.930.039-3
502;Bary;*;*;Bary S.A.;890.102.039-8
503;Gelvez;*;*;Gelvez S.A.;N/D
504;Soberana;*;*;Grasco S.A.;890.900.149-0
505;Soberana;*;*;Grasco S.A.;890.900.149-0
506;La Constancia;*;*;La Constancia S.A.;890.102.051-8
507;Vancamps;*;*;Van Camp's (Conagra Brands);N/D
508;Rey;*;*;Rey S.A.;N/D
509;El Rodeo;*;*;El Rodeo S.A.;N/D
510;Harina Pan;*;*;Alimentos Polar S.A.;890.100.052-9
511;Salsan;*;*;Salsan S.A.;890.100.503-1
512;San José;*;*;San José S.A.;N/D
513;Doria;*;*;Pastas Doria S.A. (Grupo Nutresa);890.100.142-1
514;Refisal;*;*;Refisal S.A. (Grupo Nutresa);890.100.102-2
515;Alpina;*;*;Alpina Productos Naturales S.A.;890.000.121-6
516;La Victoria;*;*;La Victoria S.A.;N/D
517;Vancamps;*;*;Van Camp's (Conagra Brands);N/D
518;Ocañera;*;*;Ocañera S.A.;N/D
519;Ocañera;*;*;Ocañera S.A.;N/D
520;Ocañera;*;*;Ocañera S.A.;N/D
521;Ocañera;*;*;Ocañera S.A.;N/D
522;Ever House;*;*;Ever House S.A.;N/D
523;El Sol;*;*;El Sol S.A.;N/D
524;Nube;*;*;Nube S.A.S.;N/D
525;Familia;*;*;Productos Familia S.A.;890.900.090-5
526;Nube;*;*;Nube S.A.S.;N/D
527;Familia;*;*;Productos Familia S.A.;890.900.090-5
528;Popular;*;*;Popular S.A.;N/D
529;Popular;*;*;Popular S.A.;N/D
530;Darnel;*;*;Darnel S.A.;800.135.932-9
531;Darnel;*;*;Darnel S.A.;800.135.932-9
532;Darnel;*;*;Darnel S.A.;800.135.932-9
533;Darnel;*;*;Darnel S.A.;800.135.932-9
534;Familia;*;*;Productos Familia S.A.;890.900.090-5
535;Nube;*;*;Nube S.A.S.;N/D
536;Nube;*;*;Nube S.A.S.;N/D
537;Familia;*;*;Productos Familia S.A.;890.900.090-5
538;Familia;*;*;Productos Familia S.A.;890.900.090-5
539;Darnel;*;*;Darnel S.A.;800.135.932-9
540;Darnel;*;*;Darnel S.A.;800.135.932-9
541;Darnel;*;*;Darnel S.A.;800.135.932-9
542;Darnel;*;*;Darnel S.A.;800.135.932-9
543;Darnel;*;*;Darnel S.A.;800.135.932-9
544;Darnel;*;*;Darnel S.A.;800.135.932-9
545;Darnel;*;*;Darnel S.A.;800.135.932-9
546;Darnel;*;*;Darnel S.A.;800.135.932-9
547;Darnel;*;*;Darnel S.A.;800.135.932-9
548;Darnel;*;*;Darnel S.A.;800.135.932-9
549;Darnel;*;*;Darnel S.A.;800.135.932-9
550;Darnel;*;*;Darnel S.A.;800.135.932-9
551;Darnel;*;*;Darnel S.A.;800.135.932-9
552;Darnel;*;*;Darnel S.A.;800.135.932-9
553;Darnel;*;*;Darnel S.A.;800.135.932-9
554;Darnel;*;*;Darnel S.A.;800.135.932-9
555;Darnel;*;*;Darnel S.A.;800.135.932-9
556;Darnel;*;*;Darnel S.A.;800.135.932-9
557;Darnel;*;*;Darnel S.A.;800.135.932-9
558;Darnel;*;*;Darnel S.A.;800.135.932-9
559;Darnel;*;*;Darnel S.A.;800.135.932-9
560;Darnel;*;*;Darnel S.A.;800.135.932-9
561;Darnel;*;*;Darnel S.A.;800.135.932-9
562;Darnel;*;*;Darnel S.A.;800.135.932-9
563;Darnel;*;*;Darnel S.A.;800.135.932-9
564;Darnel;*;*;Darnel S.A.;800.135.932-9
565;Darnel;*;*;Darnel S.A.;800.135.932-9
566;Darnel;*;*;Darnel S.A.;800.135.932-9
567;Darnel;*;*;Darnel S.A.;800.135.932-9
568;Darnel;*;*;Darnel S.A.;800.135.932-9
569;Darnel;*;*;Darnel S.A.;800.135.932-9
570;Darnel;*;*;Darnel S.A.;800.135.932-9
571;Darnel;*;*;Darnel S.A.;800.135.932-9
572;Darnel;*;*;Darnel S.A.;800.135.932-9
573;Darnel;*;*;Darnel S.A.;800.135.932-9
574;Darnel;*;*;Darnel S.A.;800.135.932-9
575;Darnel;*;*;Darnel S.A.;800.135.932-9
576;Darnel;*;*;Darnel S.A.;800.135.932-9
577;Darnel;*;*;Darnel S.A.;800.135.932-9
578;Darnel;*;*;Darnel S.A.;800.135.932-9
579;Darnel;*;*;Darnel S.A.;800.135.932-9
580;Darnel;*;*;Darnel S.A.;800.135.932-9
581;Darnel;*;*;Darnel S.A.;800.135.932-9
582;Darnel;*;*;Darnel S.A.;800.135.932-9
583;Darnel;*;*;Darnel S.A.;800.135.932-9
584;Darnel;*;*;Darnel S.A.;800.135.932-9
585;Darnel;*;*;Darnel S.A.;800.135.932-9
586;Darnel;*;*;Darnel S.A.;800.135.932-9
587;Darnel;*;*;Darnel S.A.;800.135.932-9
588;Darnel;*;*;Darnel S.A.;800.135.932-9
589;Darnel;*;*;Darnel S.A.;800.135.932-9
590;El Sol;*;*;El Sol S.A.;N/D
591;Darnel;*;*;Darnel S.A.;800.135.932-9
592;Darnel;*;*;Darnel S.A.;800.135.932-9
593;Darnel;*;*;Darnel S.A.;800.135.932-9
594;Tork;*;*;Essity Colombia S.A.S.;830.131.824-8
595;Darnel;*;*;Darnel S.A.;800.135.932-9
596;Darnel;*;*;Darnel S.A.;800.135.932-9
597;Darnel;*;*;Darnel S.A.;800.135.932-9
598;Tork;*;*;Essity Colombia S.A.S.;830.131.824-8
599;Darnel;*;*;Darnel S.A.;800.135.932-9
600;Elite;*;*;Elite S.A.;N/D
601;Familia;*;*;Productos Familia S.A.;890.900.090-5
602;Familia;*;*;Productos Familia S.A.;890.900.090-5
603;Familia;*;*;Productos Familia S.A.;890.900.090-5
604;Popular;*;*;Popular S.A.;N/D
605;Comapan;*;*;Comapan S.A.;890.100.150-2
606;Bimbo;*;*;Bimbo de Colombia S.A.;860.038.872-2
607;Ornelo;*;*;Ornelo S.A.S.;N/D
608;Ornelo;*;*;Ornelo S.A.S.;N/D
609;Bimbo;*;*;Bimbo de Colombia S.A.;860.038.872-2
610;Comapan;*;*;Comapan S.A.;890.100.150-2
611;Ornelo;*;*;Ornelo S.A.S.;N/D
612;Ornelo;*;*;Ornelo S.A.S.;N/D
613;Bimbo;*;*;Bimbo de Colombia S.A.;860.038.872-2
614;Guadalupe;*;*;Lácteos Guadalupe S.A.;N/D
615;Guadalupe;*;*;Lácteos Guadalupe S.A.;N/D
616;Milenio;*;*;Milenio S.A.;N/D
617;Milenio;*;*;Milenio S.A.;N/D
618;Del Fonce;*;*;Del Fonce S.A.;N/D
619;Del Fonce;*;*;Del Fonce S.A.;N/D
620;Guadalupe;*;*;Lácteos Guadalupe S.A.;N/D
621;Guadalupe;*;*;Lácteos Guadalupe S.A.;N/D
622;Noel;*;*;Compañía Nacional de Galletas Noel S.A. (Grupo Nutresa);890.900.036-0
623;Bimbo;*;*;Bimbo de Colombia S.A.;860.038.872-2
624;Bimbo;*;*;Bimbo de Colombia S.A.;860.038.872-2
625;Ornelo;*;*;Ornelo S.A.S.;N/D
626;Ornelo;*;*;Ornelo S.A.S.;N/D
627;Ornelo;*;*;Ornelo S.A.S.;N/D
628;Ornelo;*;*;Ornelo S.A.S.;N/D
629;Ornelo;*;*;Ornelo S.A.S.;N/D
630;Bimbo;*;*;Bimbo de Colombia S.A.;860.038.872-2
631;Bimbo;*;*;Bimbo de Colombia S.A.;860.038.872-2
632;Paraguitas;*;*;Colombina S.A.;890.900.075-6
633;Paraguitas;*;*;Colombina S.A.;890.900.075-6
634;Paraguitas;*;*;Colombina S.A.;890.900.075-6
635;Alqueria;*;*;Industrias Alimenticias Alquería S.A.;890.100.187-1
636;Tubito;*;*;Colombina S.A.;890.900.075-6
637;Tubito;*;*;Colombina S.A.;890.900.075-6
638;Corona;*;*;Alimentos Diana S.A. (Grupo Nutresa);890.100.164-2
639;Corona;*;*;Alimentos Diana S.A. (Grupo Nutresa);890.100.164-2
640;Colombina;*;*;Colombina S.A.;890.900.075-6
641;Colombina;*;*;Colombina S.A.;890.900.075-6
642;Colanta;*;*;Cooperativa Lechera Colanta Ltda.;890.102.042-8
643;Nestle;*;*;Nestlé de Colombia S.A.;860.002.727-2
644;Nestle;*;*;Nestlé de Colombia S.A.;860.002.727-2
645;Colombina;*;*;Colombina S.A.;890.900.075-6
646;Colombina;*;*;Colombina S.A.;890.900.075-6
647;Colanta;*;*;Cooperativa Lechera Colanta Ltda.;890.102.042-8
648;Colanta;*;*;Cooperativa Lechera Colanta Ltda.;890.102.042-8
649;Selecto;*;*;Selecto S.A.;N/D
650;Frutiño;*;*;Frutiño S.A.;N/D
651;Frutiño;*;*;Frutiño S.A.;N/D
652;Levapan;*;*;Levapan S.A.;890.100.031-1
653;Levapan;*;*;Levapan S.A.;890.100.031-1
654;Levapan;*;*;Levapan S.A.;890.100.031-1
655;Levapan;*;*;Levapan S.A.;890.100.031-1
656;Frutiño;*;*;Frutiño S.A.;N/D
657;Gelada;*;*;Gelada S.A.S.;N/D
658;Levapan;*;*;Levapan S.A.;890.100.031-1
659;Selecto;*;*;Selecto S.A.;N/D
660;Selecto;*;*;Selecto S.A.;N/D
661;Cordillera;*;*;Cordillera S.A.;N/D
662;Cordillera;*;*;Cordillera S.A.;N/D
663;Girones;*;*;Lácteos Girones S.A.;N/D
664;Girones;*;*;Lácteos Girones S.A.;N/D
665;Aderezos;*;*;Aderezos S.A.;N/D
666;Ocañera;*;*;Ocañera S.A.;N/D
667;Nestle;*;*;Nestlé de Colombia S.A.;860.002.727-2
668;Nestle;*;*;Nestlé de Colombia S.A.;860.002.727-2
669;Postobon;*;*;Postobón S.A.;890.900.116-2
670;Postobon;*;*;Postobón S.A.;890.900.116-2
671;Postobon;*;*;Postobón S.A.;890.900.116-2
672;Postobon;*;*;Postobón S.A.;890.900.116-2
673;Esmeralda;*;*;Compañía Nacional de Chocolates S.A. (Grupo Nutresa);890.900.074-8
674;Esmeralda;*;*;Compañía Nacional de Chocolates S.A. (Grupo Nutresa);890.900.074-8
675;Postobon;*;*;Postobón S.A.;890.900.116-2
676;Postobon;*;*;Postobón S.A.;890.900.116-2
677;Postobon;*;*;Postobón S.A.;890.900.116-2
678;Postobon;*;*;Postobón S.A.;890.900.116-2
679;Postobon;*;*;Postobón S.A.;890.900.116-2
680;Postobon;*;*;Postobón S.A.;890.900.116-2
681;Postobon;*;*;Postobón S.A.;890.900.116-2
682;Postobon;*;*;Postobón S.A.;890.900.116-2
683;Postobon;*;*;Postobón S.A.;890.900.116-2
684;Postobon;*;*;Postobón S.A.;890.900.116-2
685;Postobon;*;*;Postobón S.A.;890.900.116-2
686;Postobon;*;*;Postobón S.A.;890.900.116-2
687;Postobon;*;*;Postobón S.A.;890.900.116-2
688;Postobon;*;*;Postobón S.A.;890.900.116-2
689;Postobon;*;*;Postobón S.A.;890.900.116-2
690;Postobon;*;*;Postobón S.A.;890.900.116-2
691;Postobon;*;*;Postobón S.A.;890.900.116-2
692;Postobon;*;*;Postobón S.A.;890.900.116-2
693;Postobon;*;*;Postobón S.A.;890.900.116-2
694;Postobon;*;*;Postobón S.A.;890.900.116-2
695;Postobon;*;*;Postobón S.A.;890.900.116-2
696;Postobon;*;*;Postobón S.A.;890.900.116-2
697;Postobon;*;*;Postobón S.A.;890.900.116-2
698;Postobon;*;*;Postobón S.A.;890.900.116-2
699;Postobon;*;*;Postobón S.A.;890.900.116-2
700;Postobon;*;*;Postobón S.A.;890.900.116-2
701;Postobon;*;*;Postobón S.A.;890.900.116-2
702;Postobon;*;*;Postobón S.A.;890.900.116-2
703;Postobon;*;*;Postobón S.A.;890.900.116-2
704;Postobon;*;*;Postobón S.A.;890.900.116-2
705;Postobon;*;*;Postobón S.A.;890.900.116-2
706;Postobon;*;*;Postobón S.A.;890.900.116-2
707;Postobon;*;*;Postobón S.A.;890.900.116-2
708;Postobon;*;*;Postobón S.A.;890.900.116-2
709;Postobon;*;*;Postobón S.A.;890.900.116-2
710;Postobon;*;*;Postobón S.A.;890.900.116-2
711;Postobon;*;*;Postobón S.A.;890.900.116-2
712;Colanta;*;*;Cooperativa Lechera Colanta Ltda.;890.102.042-8
713;Colanta;*;*;Cooperativa Lechera Colanta Ltda.;890.102.042-8
714;Jumbo;*;*;Cencosud Colombia S.A.;830.082.230-1
715;Jumbo;*;*;Cencosud Colombia S.A.;830.082.230-1
716;Jumbo;*;*;Cencosud Colombia S.A.;830.082.230-1
717;Jumbo;*;*;Cencosud Colombia S.A.;830.082.230-1
718;Jumbo;*;*;Cencosud Colombia S.A.;830.082.230-1
719;Jumbo;*;*;Cencosud Colombia S.A.;830.082.230-1
720;Jumbo;*;*;Cencosud Colombia S.A.;830.082.230-1
721;Jumbo;*;*;Cencosud Colombia S.A.;830.082.230-1
722;Jet;*;*;Compañía Nacional de Chocolates S.A. (Grupo Nutresa);890.900.074-8
723;Jet;*;*;Compañía Nacional de Chocolates S.A. (Grupo Nutresa);890.900.074-8
724;Jet;*;*;Compañía Nacional de Chocolates S.A. (Grupo Nutresa);890.900.074-8
725;Jet;*;*;Compañía Nacional de Chocolates S.A. (Grupo Nutresa);890.900.074-8
726;Jet;*;*;Compañía Nacional de Chocolates S.A. (Grupo Nutresa);890.900.074-8
727;Italo;*;*;Italo S.A.;N/D
728;Jet;*;*;Compañía Nacional de Chocolates S.A. (Grupo Nutresa);890.900.074-8
729;Jet;*;*;Compañía Nacional de Chocolates S.A. (Grupo Nutresa);890.900.074-8
730;Colombina;*;*;Colombina S.A.;890.900.075-6
731;Colombina;*;*;Colombina S.A.;890.900.075-6
732;Colombina;*;*;Colombina S.A.;890.900.075-6
733;Colombina;*;*;Colombina S.A.;890.900.075-6
734;Colombina;*;*;Colombina S.A.;890.900.075-6
735;Colombina;*;*;Colombina S.A.;890.900.075-6
736;Colombina;*;*;Colombina S.A.;890.900.075-6
737;Colombina;*;*;Colombina S.A.;890.900.075-6
738;Colombina;*;*;Colombina S.A.;890.900.075-6
739;Tosh;*;*;Compañía Nacional de Galletas Noel S.A. (Grupo Nutresa);890.900.036-0
740;Tosh;*;*;Compañía Nacional de Galletas Noel S.A. (Grupo Nutresa);890.900.036-0
741;Margarita;*;*;PepsiCo Alimentos Colombia S.A.;830.003.584-2
742;Margarita;*;*;PepsiCo Alimentos Colombia S.A.;830.003.584-2
743;Margarita;*;*;PepsiCo Alimentos Colombia S.A.;830.003.584-2
744;Margarita;*;*;PepsiCo Alimentos Colombia S.A.;830.003.584-2
745;Margarita;*;*;PepsiCo Alimentos Colombia S.A.;830.003.584-2
746;Margarita;*;*;PepsiCo Alimentos Colombia S.A.;830.003.584-2
747;Margarita;*;*;PepsiCo Alimentos Colombia S.A.;830.003.584-2
748;Margarita;*;*;PepsiCo Alimentos Colombia S.A.;830.003.584-2
749;Margarita;*;*;PepsiCo Alimentos Colombia S.A.;830.003.584-2
750;Bimbo;*;*;Bimbo de Colombia S.A.;860.038.872-2
751;Bimbo;*;*;Bimbo de Colombia S.A.;860.038.872-2
752;Ramo;*;*;Bimbo de Colombia S.A.;860.038.872-2
753;Bimbo;*;*;Bimbo de Colombia S.A.;860.038.872-2
754;Ramo;*;*;Bimbo de Colombia S.A.;860.038.872-2
755;Bimbo;*;*;Bimbo de Colombia S.A.;860.038.872-2
756;Bimbo;*;*;Bimbo de Colombia S.A.;860.038.872-2
757;Colombina;*;*;Colombina S.A.;890.900.075-6
758;Oreo;*;*;Mondelēz Colombia S.A.S.;860.052.021-2
759;Oreo;*;*;Mondelēz Colombia S.A.S.;860.052.021-2
760;Oreo;*;*;Mondelēz Colombia S.A.S.;860.052.021-2
761;Cocosette;*;*;Cocosette S.A.;N/D
762;Trident;*;*;Mondelēz Colombia S.A.S.;860.052.021-2
763;Trident;*;*;Mondelēz Colombia S.A.S.;860.052.021-2
764;Trident;*;*;Mondelēz Colombia S.A.S.;860.052.021-2
765;Trident;*;*;Mondelēz Colombia S.A.S.;860.052.021-2
766;Colombina;*;*;Colombina S.A.;890.900.075-6
767;Bimbo;*;*;Bimbo de Colombia S.A.;860.038.872-2
768;Ramo;*;*;Bimbo de Colombia S.A.;860.038.872-2
